Frame Number,Timecode,content_val,delta_edges,delta_hue,delta_lum,delta_sat
2,00:00:00.033,12.508110894097221,35.769449869791664,8.06130642361111,11.391493055555555,18.071533203125
3,00:00:00.067,13.698070384837962,38.22509765625,9.378363715277779,12.502387152777779,19.213460286458332
4,00:00:00.100,13.949616608796298,41.13037109375,9.612901475694445,12.947157118055555,19.28879123263889
5,00:00:00.133,13.627287688078704,40.929768880208336,8.323784722222221,13.225287543402779,19.33279079861111
6,00:00:00.167,13.868715639467593,39.352620442708336,8.484944661458334,13.58447265625,19.536729600694443
7,00:00:00.200,14.479890046296296,45.11474609375,9.174696180555555,14.443115234375,19.821858723958332
8,00:00:00.234,14.621790002893519,49.043782552083336,9.394911024305555,14.776665581597221,19.69379340277778
9,00:00:00.267,14.459951895254628,49.915364583333336,9.368299696180555,14.640380859375,19.371175130208332
10,00:00:00.300,14.79518410011574,49.777018229166664,9.66701931423611,14.899088541666666,19.819444444444443
11,00:00:00.334,14.921712239583334,52.025146484375,9.56222873263889,15.49416775173611,19.708740234375
12,00:00:00.367,15.717800564236109,59.129231770833336,11.165879991319445,15.967936197916666,20.01958550347222
13,00:00:00.400,35.99459273726851,75.99365234375,34.16156684027778,36.178385416666664,37.643825954861114
14,00:00:00.434,13.302182798032407,25.206705729166668,16.6640625,11.990315755208334,11.25217013888889
15,00:00:00.467,14.012903284143519,28.900553385416668,18.80756293402778,12.06076388888889,11.17038302951389
16,00:00:00.501,13.816415292245372,25.587158203125,19.249837239583332,11.18185763888889,11.01755099826389
17,00:00:00.534,13.892270688657407,25.331217447916668,19.35910373263889,11.096544053819445,11.22116427951389
18,00:00:00.567,14.855152271412038,26.424153645833332,20.95358615451389,11.71755642361111,11.89431423611111
19,00:00:00.601,14.986038773148147,27.420247395833332,20.80707465277778,12.009521484375,12.141520182291666
20,00:00:00.634,14.959228515624998,27.440999348958332,20.21001519097222,12.619791666666666,12.04787868923611
21,00:00:00.667,14.906774450231481,27.088216145833332,19.85080295138889,12.72414822048611,12.145372178819445
22,00:00:00.701,14.604727285879628,25.8154296875,19.806749131944443,12.307915581597221,11.699517144097221
23,00:00:00.734,14.849148220486109,26.285807291666668,19.774251302083332,12.88479275173611,11.88840060763889
24,00:00:00.767,14.97971824363426,26.756184895833332,19.233534071180557,13.511040581597221,12.194580078125
25,00:00:00.801,15.746554904513891,30.996500651041668,20.142252604166668,14.293836805555555,12.803575303819445
26,00:00:00.834,17.51516384548611,39.532470703125,21.20724826388889,16.88568793402778,14.452555338541666
27,00:00:00.868,18.788501880787035,43.973388671875,21.96416558159722,18.64350043402778,15.75783962673611
28,00:00:00.901,18.73417607060185,50.814615885416664,20.85647243923611,19.14822048611111,16.197835286458332
29,00:00:00.934,18.92181170428241,51.990559895833336,19.730604383680557,20.16400824652778,16.87082248263889
30,00:00:00.968,19.568205656828706,56.452229817708336,19.938395182291668,20.766954210069443,17.999267578125
31,00:00:01.001,20.789912471064813,61.654052734375,22.806043836805557,21.69186740451389,17.871826171875
32,00:00:01.034,21.462800202546294,65.244140625,23.535264756944443,22.15163845486111,18.701497395833332
33,00:00:01.068,23.445692274305557,67.08414713541667,26.660780164930557,23.430013020833332,20.24628363715278
34,00:00:01.101,24.96333369502315,72.10611979166667,28.81903754340278,24.338243272569443,21.73272026909722
35,00:00:01.134,24.475441261574076,75.32958984375,28.62497287326389,24.44061957465278,20.360731336805557
36,00:00:01.168,25.242567274305557,75.15665690104167,29.606689453125,25.14133029513889,20.97968207465278
37,00:00:01.201,27.03985821759259,77.60538736979167,33.730251736111114,25.79229058159722,21.597032335069443
38,00:00:01.235,27.891484013310187,72.87394205729167,35.82373046875,24.695231119791668,23.15549045138889
39,00:00:01.268,29.772677951388886,81.25081380208333,39.49522569444444,24.72311740451389,25.099690755208332
40,00:00:01.301,27.853361906828706,75.64778645833333,37.003200954861114,21.9443359375,24.612548828125
41,00:00:01.335,25.17406322337963,69.44986979166667,35.04942491319444,17.893147786458332,22.57961697048611
42,00:00:01.368,23.912516276041668,62.1728515625,33.160563151041664,16.55219184027778,22.024793836805557
43,00:00:01.401,23.977240668402782,63.348795572916664,33.68476019965278,16.54253472222222,21.704427083333332
44,00:00:01.435,23.67679398148148,53.097330729166664,33.834255642361114,16.007188585069443,21.18893771701389
45,00:00:01.468,23.485758463541668,50.752360026041664,33.87841796875,15.998345269097221,20.58051215277778
46,00:00:01.502,23.435709635416668,48.552652994791664,34.821858723958336,15.32516818576389,20.16010199652778
47,00:00:01.535,22.757685908564813,43.544514973958336,34.256076388888886,14.889756944444445,19.12722439236111
48,00:00:01.568,22.65038158275463,38.619384765625,34.44740125868056,14.48342556423611,19.02031792534722
49,00:00:01.602,23.030400028935187,40.563151041666664,34.65771484375,15.815049913194445,18.61843532986111
50,00:00:01.635,23.499113859953706,39.63623046875,35.79096137152778,15.483045789930555,19.22333441840278
51,00:00:01.668,21.27874529803241,33.265380859375,32.13585069444444,13.834418402777779,17.865966796875
52,00:00:01.702,17.204888237847225,27.440999348958332,26.19821506076389,11.464436848958334,13.952012803819445
53,00:00:01.735,51.96709526909722,71.26220703125,67.49538845486111,48.48554144965278,39.92035590277778
54,00:00:01.768,7.690492983217593,22.944742838541668,8.400634765625,7.670084635416667,7.000759548611111
55,00:00:01.802,6.229890046296297,19.181722005208332,8.811225043402779,5.084879557291667,4.793565538194445
56,00:00:01.835,6.381022135416667,21.575113932291668,10.054443359375,4.554551866319445,4.534071180555555
57,00:00:01.869,6.374674479166667,23.055419921875,9.260416666666666,4.529975043402778,5.333631727430555
58,00:00:01.902,4.604799623842593,14.8583984375,6.195936414930555,3.7481282552083335,3.870334201388889
59,00:00:01.935,3.490776909722222,13.018391927083334,3.8743218315972223,3.4589029947916665,3.1391059027777777
60,00:00:01.969,2.6811794704861107,8.411458333333334,2.6735026041666665,2.8482801649305554,2.521755642361111
61,00:00:02.002,2.3525028935185186,8.17626953125,2.1175401475694446,2.5914984809027777,2.3484700520833335
62,00:00:02.035,1.9028139467592593,8.307698567708334,1.43994140625,2.2428656684027777,2.025634765625
63,00:00:02.069,1.5313132957175926,8.618977864583334,0.988525390625,1.8371310763888888,1.7682834201388888
64,00:00:02.102,1.68505859375,8.072509765625,1.5059136284722223,1.5369466145833333,2.0123155381944446
65,00:00:02.135,1.1587818287037035,6.121826171875,0.9310709635416666,0.9788682725694444,1.56640625
66,00:00:02.169,1.3301414207175926,8.086344401041666,1.1381293402777777,1.1094563802083333,1.7428385416666667
67,00:00:02.202,1.1406882957175926,6.066487630208333,1.0903862847222223,0.9864908854166666,1.3451877170138888
68,00:00:02.236,1.1342230902777777,5.990397135416667,1.170166015625,0.9124620225694444,1.3200412326388888
69,00:00:02.269,1.1189778645833333,5.831298828125,1.2887912326388888,0.8445909288194444,1.2235514322916667
70,00:00:02.302,1.0801142939814814,4.378662109375,1.2103678385416667,0.7655436197916666,1.2644314236111112
71,00:00:02.336,0.7973271122685185,3.6661783854166665,0.8538140190972222,0.5611707899305556,0.9769965277777778
72,00:00:02.369,45.23626482928241,45.356852213541664,51.79090711805556,49.790852864583336,34.127034505208336
73,00:00:02.402,1.7864854600694444,7.92724609375,3.4391004774305554,0.3548177083333333,1.5655381944444444
74,00:00:02.436,2.5183195891203702,7.366943359375,4.848605685763889,0.4245876736111111,2.281765407986111
75,00:00:02.469,3.2794596354166665,8.667399088541666,6.429850260416667,0.5885416666666666,2.8199869791666665
76,00:00:02.502,3.550419560185185,10.08544921875,6.763699001736111,0.5794270833333334,3.308132595486111
77,00:00:02.536,3.2959979021990744,9.117024739583334,6.271864149305555,0.5489366319444444,3.0671929253472223
78,00:00:02.569,5.427906177662037,11.946207682291666,10.650499131944445,0.7834743923611112,4.849745008680555
79,00:00:02.603,6.168755425347222,13.115234375,12.196967230902779,0.8355848524305556,5.473714192708333
80,00:00:02.636,4.468948929398148,11.33056640625,8.565104166666666,0.6672634548611112,4.174479166666667
81,00:00:02.669,4.609691478587963,10.846354166666666,8.71533203125,0.7494845920138888,4.3642578125
82,00:00:02.703,4.7474139178240735,10.763346354166666,9.107340494791666,0.7242567274305556,4.41064453125
83,00:00:02.736,4.928403501157407,10.528157552083334,9.61452907986111,0.7445203993055556,4.426161024305555
84,00:00:02.769,5.2508318865740735,10.694173177083334,10.230712890625,0.794189453125,4.727593315972222
85,00:00:02.803,4.863444010416667,11.0400390625,9.513427734375,0.7874077690972222,4.289496527777778
86,00:00:02.836,5.436586733217593,8.210856119791666,10.468153211805555,0.89111328125,4.950493706597222
87,00:00:02.870,7.002025462962963,11.49658203125,13.501139322916666,1.2024197048611112,6.302517361111111
88,00:00:02.903,5.926079644097222,8.67431640625,11.587972005208334,1.0587565104166667,5.131510416666667
89,00:00:02.936,5.028745298032407,9.691162109375,9.508409288194445,1.0159505208333333,4.561876085069445
90,00:00:02.970,6.3141095196759265,11.614176432291666,12.14865451388889,1.1175944010416667,5.676079644097222
91,00:00:03.003,5.7103045428240735,10.106201171875,11.216878255208334,1.0369194878472223,4.877115885416667
92,00:00:03.036,5.737820095486111,9.082438151041666,10.996527777777779,1.0884602864583333,5.128472222222222
93,00:00:03.070,6.63941333912037,11.005452473958334,12.685953776041666,1.2771267361111112,5.955159505208333
94,00:00:03.103,8.206117983217593,12.755533854166666,15.828287760416666,1.4674207899305556,7.322645399305555
95,00:00:03.136,5.420364945023148,8.992513020833334,10.31643337673611,1.2201877170138888,4.724473741319445
96,00:00:03.170,5.973054108796297,10.804850260416666,11.339952256944445,1.328369140625,5.250840928819445
97,00:00:03.203,5.651945891203703,9.649658203125,10.46725802951389,1.3921440972222223,5.096435546875
98,00:00:03.237,5.986716941550925,11.046956380208334,11.002360026041666,1.5442165798611112,5.41357421875
99,00:00:03.270,6.004928023726851,9.656575520833334,11.123101128472221,1.65966796875,5.232014973958333
100,00:00:03.303,6.068784360532407,9.08935546875,11.356852213541666,1.8515625,4.997938368055555
101,00:00:03.337,5.54346607349537,8.598225911458334,10.17868381076389,1.9813639322916667,4.470350477430555
102,00:00:03.370,8.10592990451389,11.856282552083334,15.032416449652779,2.357638888888889,6.927734375
103,00:00:03.403,6.653257016782407,11.842447916666666,12.170979817708334,2.2526312934027777,5.536159939236111
104,00:00:03.437,7.357883029513889,11.717936197916666,13.57150607638889,2.3616536458333335,6.140489366319445
105,00:00:03.470,6.854184751157407,11.669514973958334,12.518690321180555,2.3619249131944446,5.681939019097222
106,00:00:03.504,6.172046802662037,10.555826822916666,11.303575303819445,2.3218315972222223,4.890733506944445
107,00:00:03.537,6.3084490740740735,10.8740234375,11.42428927951389,2.3678114149305554,5.133246527777778
108,00:00:03.570,7.431676793981481,12.16064453125,13.613145616319445,2.5977647569444446,6.084120008680555
109,00:00:03.604,8.819200303819445,14.975992838541666,16.29836697048611,2.7730034722222223,7.38623046875
110,00:00:03.637,6.748318142361111,10.901692708333334,11.859429253472221,2.6465386284722223,5.738986545138889
111,00:00:03.670,7.194625289351852,12.582600911458334,12.7763671875,2.744601779513889,6.062906901041667
112,00:00:03.704,6.8062518084490735,12.859293619791666,12.111897786458334,2.6806640625,5.626193576388889
113,00:00:03.737,7.120668764467593,10.894775390625,12.466796875,2.7120496961805554,6.183159722222222
114,00:00:03.770,7.372703269675925,13.391927083333334,12.63302951388889,2.7910970052083335,6.693983289930555
115,00:00:03.804,6.945972583912035,12.209065755208334,11.596001519097221,2.8509657118055554,6.390950520833333
116,00:00:03.837,7.404911747685186,13.170572916666666,12.429009331597221,2.8741590711805554,6.911566840277778
117,00:00:03.871,8.740885416666666,14.381103515625,15.18701171875,3.1287977430555554,7.906846788194445
118,00:00:03.904,8.132170500578704,15.889078776041666,14.00461154513889,3.0021158854166665,7.389784071180555
119,00:00:03.937,7.563431351273149,11.66259765625,13.01125759548611,2.946994357638889,6.732042100694445
120,00:00:03.971,8.230179398148149,14.055989583333334,14.275580512152779,3.0211588541666665,7.393798828125
121,00:00:04.004,6.645290798611111,14.754638671875,10.96457248263889,2.856174045138889,6.115125868055555
122,00:00:04.037,7.089147497106481,15.14892578125,11.60549587673611,2.9498155381944446,6.712131076388889
123,00:00:04.071,7.1350278501157405,12.665608723958334,11.652587890625,3.036159939236111,6.716335720486111
124,00:00:04.104,9.440194589120368,17.895100911458332,16.614095052083332,3.2127007378472223,8.493787977430555
125,00:00:04.137,7.344039351851852,12.022298177083334,12.443929036458334,2.983859592013889,6.604329427083333
126,00:00:04.171,7.40015552662037,15.474039713541666,12.339545355902779,3.0647515190972223,6.796169704861111
127,00:00:04.204,6.801712601273148,14.837646484375,11.166937934027779,3.0189073350694446,6.219292534722222
128,00:00:04.238,7.011962890625,12.091471354166666,11.497368706597221,2.99169921875,6.546820746527778
129,00:00:04.271,6.958812572337963,12.693277994791666,11.168402777777779,2.9353569878472223,6.772677951388889
130,00:00:04.304,9.345856843171296,15.930582682291666,14.595269097222221,4.726643880208333,8.715657552083334
131,00:00:04.338,8.90406177662037,15.460205078125,14.97580295138889,3.1910807291666665,8.545301649305555
132,00:00:04.371,14.838623046875,16.594645182291668,26.536702473958332,3.974338107638889,14.004828559027779
133,00:00:04.404,6.5436017071759265,13.080647786458334,10.623914930555555,2.9083387586805554,6.098551432291667
134,00:00:04.438,6.579029224537038,13.876139322916666,10.508382161458334,2.8502875434027777,6.37841796875
135,00:00:04.471,6.043339482060186,12.527262369791666,9.376329210069445,2.7179090711805554,6.035780164930555
136,00:00:04.505,6.497522424768518,13.32275390625,10.565077039930555,2.673312717013889,6.254177517361111
137,00:00:04.538,7.031792534722221,12.693277994791666,11.46365017361111,2.69580078125,6.935926649305555
138,00:00:04.571,8.46780056423611,14.270426432291666,14.342041015625,2.7974175347222223,8.26394314236111
139,00:00:04.605,6.345241970486111,11.302897135416666,10.062934027777779,2.5659722222222223,6.406819661458333
140,00:00:04.638,6.5788393373842595,11.738688151041666,10.470865885416666,2.5465766059027777,6.719075520833333
141,00:00:04.671,6.31397388599537,13.578694661458334,10.175889756944445,2.4482421875,6.317789713541667
142,00:00:04.705,6.326777705439816,11.012369791666666,10.27658420138889,2.415988498263889,6.287760416666667
143,00:00:04.738,6.817455150462963,12.935384114583334,11.21072048611111,2.4449869791666665,6.796657986111111
144,00:00:04.771,6.601526331018519,14.630126953125,10.91965060763889,2.3529730902777777,6.531955295138889
145,00:00:04.805,6.342701099537037,12.921549479166666,10.495985243055555,2.2609049479166665,6.271213107638889
146,00:00:04.838,8.131881148726853,16.6015625,14.182779947916666,2.4581163194444446,7.754747178819445
147,00:00:04.872,7.238489221643519,16.041259765625,12.190999348958334,2.273681640625,7.250786675347222
148,00:00:04.905,7.384250217013888,15.384114583333334,12.471028645833334,2.2686631944444446,7.413058810763889
149,00:00:04.938,6.843957971643519,16.345621744791668,11.546088324652779,2.103244357638889,6.882541232638889
150,00:00:04.972,5.793628833912038,14.927571614583334,9.435248480902779,1.8885633680555556,6.057074652777778
151,00:00:05.005,6.4583966290509265,12.506510416666666,10.71267361111111,1.9144965277777777,6.748019748263889
152,00:00:05.038,6.122775607638889,13.647867838541666,10.016899956597221,1.9301486545138888,6.421278211805555
153,00:00:05.072,7.762080439814816,14.851481119791666,13.227891710069445,2.0448404947916665,8.013509114583334
154,00:00:05.105,6.04663990162037,14.782307942708334,10.107476128472221,1.7812228732638888,6.251220703125
155,00:00:05.138,6.142985026041667,13.468017578125,10.263102213541666,1.7658420138888888,6.400010850694445
156,00:00:05.172,5.383273654513888,13.952229817708334,8.702067057291666,1.700927734375,5.746826171875
157,00:00:05.205,5.625027126736112,14.388020833333334,9.089463975694445,1.660400390625,6.125217013888889
158,00:00:05.239,5.199291087962963,14.145914713541666,8.129204644097221,1.6968587239583333,5.771809895833333
159,00:00:05.272,4.957049334490741,12.146809895833334,7.782931857638889,1.6815049913194444,5.406711154513889
160,00:00:05.305,5.837131076388889,12.644856770833334,9.322862413194445,1.777099609375,6.411431206597222
161,00:00:05.339,8.183485243055555,16.677652994791668,13.800238715277779,2.0972493489583335,8.652967664930555
162,00:00:05.372,6.239845558449075,17.542317708333332,9.92165798611111,1.9213053385416667,6.876573350694445
163,00:00:05.405,6.716796875,16.276448567708332,11.202962239583334,1.9812554253472223,6.966172960069445
164,00:00:05.439,6.466091579861111,16.3525390625,10.230278862847221,2.103786892361111,7.064208984375
165,00:00:05.472,6.375307436342593,15.806070963541666,10.377604166666666,2.029541015625,6.718777126736111
166,00:00:05.506,6.029938874421295,14.311930338541666,9.567301432291666,2.0569390190972223,6.465576171875
167,00:00:05.539,7.359818070023149,15.446370442708334,12.2890625,2.1451822916666665,7.645209418402778
168,00:00:05.572,9.021972656249998,17.355550130208332,15.484049479166666,2.3233235677083335,9.258544921875
169,00:00:05.606,10.912778501157407,16.719156901041668,16.371202256944443,2.7376030815972223,13.629530164930555
170,00:00:05.639,8.055085358796296,13.924560546875,13.883599175347221,2.0540093315972223,8.227647569444445
171,00:00:05.672,10.039948640046296,16.80908203125,15.40163845486111,2.595974392361111,12.122233072916666
172,00:00:05.706,6.231897424768518,15.633138020833334,10.032362196180555,1.9342990451388888,6.729031032986111
173,00:00:05.739,8.151041666666666,13.122151692708334,13.748399522569445,2.059597439236111,8.645128038194445
174,00:00:05.772,6.651240596064816,14.6923828125,10.898003472222221,2.0248209635416665,7.030897352430555
175,00:00:05.806,6.134991681134259,13.07373046875,10.248453776041666,1.8857693142361112,6.270751953125
176,00:00:05.839,7.839888961226852,15.667724609375,13.343505859375,2.1978624131944446,7.978298611111111
177,00:00:05.873,7.259006076388889,16.262613932291668,12.297932942708334,2.092068142361111,7.387017144097222
178,00:00:05.906,6.083387586805556,14.049072265625,10.105170355902779,1.9687228732638888,6.17626953125
179,00:00:05.939,6.0656919126157405,13.447265625,10.016248914930555,1.9212510850694444,6.259575737847222
180,00:00:05.973,6.412290219907407,12.105305989583334,10.575059678819445,1.9634874131944444,6.698323567708333
181,00:00:06.006,58.52487521701389,62.96142578125,63.40839301215278,66.55818684895833,45.60804578993056
182,00:00:06.039,15.249475549768519,26.68701171875,12.928059895833334,16.277208116319443,16.54315863715278
183,00:00:06.073,16.32249168113426,27.890625,14.772271050347221,16.678114149305557,17.51708984375
184,00:00:06.106,18.243335865162035,32.407633463541664,16.45486111111111,17.87567816840278,20.39946831597222
185,00:00:06.139,22.080810546875,40.106608072916664,20.6005859375,20.837809244791668,24.804036458333332
186,00:00:06.173,25.230830439814813,52.025146484375,24.50678168402778,23.128309461805557,28.05740017361111
187,00:00:06.206,25.064561631944443,49.860026041666664,25.47854275173611,22.467122395833332,27.24801974826389
188,00:00:06.240,25.18968822337963,43.53759765625,27.41718207465278,22.31513129340278,25.836751302083332
189,00:00:06.273,25.762776692708332,44.423014322916664,29.233154296875,22.739095052083332,25.316080729166668
190,00:00:06.306,25.058539496527782,43.067220052083336,28.77761501736111,22.55536566840278,23.842637803819443
191,00:00:06.340,22.521086516203706,39.912923177083336,26.23247612847222,20.336073133680557,20.994710286458332
192,00:00:06.373,22.263084129050924,39.71923828125,26.15985785590278,20.062255859375,20.567138671875
193,00:00:06.406,22.299216941550924,41.234130859375,25.954915364583332,19.762830946180557,21.17990451388889
194,00:00:06.440,21.168149594907405,38.799235026041664,25.00537109375,18.369954427083332,20.12912326388889
195,00:00:06.473,20.763038917824073,39.546305338541664,24.88916015625,18.11284722222222,19.287109375
196,00:00:06.506,19.873951099537038,37.581787109375,24.47287326388889,17.0322265625,18.11675347222222
197,00:00:06.540,19.882170500578706,40.404052734375,24.29473198784722,18.49509006076389,16.856689453125
198,00:00:06.573,21.53469509548611,42.54150390625,24.78662109375,21.58767361111111,18.22979058159722
199,00:00:06.607,21.688422309027775,41.697591145833336,24.14748806423611,22.40896267361111,18.50881618923611
200,00:00:06.640,21.754340277777775,46.643473307291664,24.40082465277778,22.21926540798611,18.642930772569443
201,00:00:06.673,21.759539568865744,43.523763020833336,23.850504557291668,22.6328125,18.795301649305557
202,00:00:06.707,20.773564091435187,40.452473958333336,22.784071180555557,21.73583984375,17.80078125
203,00:00:06.740,20.814100477430554,40.929768880208336,22.57744683159722,21.920735677083332,17.94411892361111
204,00:00:06.773,20.774920428240744,39.705403645833336,22.461588541666668,21.84621853298611,18.016954210069443
205,00:00:06.807,18.587727864583332,32.386881510416664,20.47235785590278,19.033447265625,16.25737847222222
206,00:00:06.840,14.575493706597221,22.425944010416668,16.777940538194443,13.794270833333334,13.15426974826389
207,00:00:06.874,12.341028284143519,21.1669921875,14.333170572916666,10.883978949652779,11.80593532986111
208,00:00:06.907,13.182373046875,21.9970703125,13.726019965277779,12.355116102430555,13.465983072916666
209,00:00:06.940,13.797444661458334,24.058430989583332,14.636338975694445,12.726264105902779,14.029730902777779
210,00:00:06.974,10.571135344328704,17.500813802083332,12.438829210069445,9.071424696180555,10.20315212673611
